Produktnamn	BildURL1	BildURL2	BildURL3	ProduktURL
Canvastavla Desert Spirit Skull - Tavla	https://pictufy.com/api/interiors.php?p=2548634&i=1837	https://pictufy.com/api/interiors.php?p=2548634&i=1534	https://pictufy.com/api/interiors.php?p=2548634&i=1596	https://wamaya.local/product/canvastavla-desert-spirit-skull-tavla/
Canvastavla Golden Horn Spirit - Tavla	https://pictufy.com/api/interiors.php?p=2548635&i=1837	https://pictufy.com/api/interiors.php?p=2548635&i=1534	https://pictufy.com/api/interiors.php?p=2548635&i=1596	https://wamaya.local/product/canvastavla-golden-horn-spirit-tavla/
Canvastavla Day to Night Sip - Tavla	https://pictufy.com/api/interiors.php?p=2548637&i=1837	https://pictufy.com/api/interiors.php?p=2548637&i=1534	https://pictufy.com/api/interiors.php?p=2548637&i=1596	https://wamaya.local/product/canvastavla-day-to-night-sip-tavla/
Canvastavla Day and Night Harmony - Tavla	https://pictufy.com/api/interiors.php?p=2548638&i=86	https://pictufy.com/api/interiors.php?p=2548638&i=1533	https://pictufy.com/api/interiors.php?p=2548638&i=1598	https://wamaya.local/product/canvastavla-day-and-night-harmony-tavla/
Canvastavla Grateful Serenity - Tavla	https://pictufy.com/api/interiors.php?p=2548642&i=1837	https://pictufy.com/api/interiors.php?p=2548642&i=1534	https://pictufy.com/api/interiors.php?p=2548642&i=1596	https://wamaya.local/product/canvastavla-grateful-serenity-tavla/
Canvastavla Balance in Motion - Tavla	https://pictufy.com/api/interiors.php?p=2548644&i=1518	https://pictufy.com/api/interiors.php?p=2548644&i=1533	https://pictufy.com/api/interiors.php?p=2548644&i=1598	https://wamaya.local/product/canvastavla-balance-in-motion-tavla/
Canvastavla Majestic Stag Profile - Tavla	https://pictufy.com/api/interiors.php?p=2548647&i=1837	https://pictufy.com/api/interiors.php?p=2548647&i=1534	https://pictufy.com/api/interiors.php?p=2548647&i=1596	https://wamaya.local/product/canvastavla-majestic-stag-profile-tavla/
Canvastavla Reflected Elegance - Tavla	https://pictufy.com/api/interiors.php?p=2548655&i=1837	https://pictufy.com/api/interiors.php?p=2548655&i=1534	https://pictufy.com/api/interiors.php?p=2548655&i=1596	https://wamaya.local/product/canvastavla-reflected-elegance-tavla/
Canvastavla Graceful Dive - Tavla	https://pictufy.com/api/interiors.php?p=2548298&i=1518	https://pictufy.com/api/interiors.php?p=2548298&i=1533	https://pictufy.com/api/interiors.php?p=2548298&i=1598	https://wamaya.local/product/canvastavla-graceful-dive-tavla/
Canvastavla Radiant Dreams - Tavla	https://pictufy.com/api/interiors.php?p=2548663&i=1837	https://pictufy.com/api/interiors.php?p=2548663&i=1534	https://pictufy.com/api/interiors.php?p=2548663&i=1596	https://wamaya.local/product/canvastavla-radiant-dreams-tavla/
Canvastavla Lunar Dreams - Tavla	https://pictufy.com/api/interiors.php?p=2548669&i=1837	https://pictufy.com/api/interiors.php?p=2548669&i=1534	https://pictufy.com/api/interiors.php?p=2548669&i=1596	https://wamaya.local/product/canvastavla-lunar-dreams-tavla/
Canvastavla Yoga Serenity - Tavla	https://pictufy.com/api/interiors.php?p=2548670&i=1837	https://pictufy.com/api/interiors.php?p=2548670&i=1534	https://pictufy.com/api/interiors.php?p=2548670&i=1596	https://wamaya.local/product/canvastavla-yoga-serenity-tavla/
Canvastavla Spirit Connection - Tavla	https://pictufy.com/api/interiors.php?p=2548671&i=1837	https://pictufy.com/api/interiors.php?p=2548671&i=1534	https://pictufy.com/api/interiors.php?p=2548671&i=1596	https://wamaya.local/product/canvastavla-spirit-connection-tavla/
Canvastavla Lunar Serenity - Tavla	https://pictufy.com/api/interiors.php?p=2548672&i=1837	https://pictufy.com/api/interiors.php?p=2548672&i=1534	https://pictufy.com/api/interiors.php?p=2548672&i=1596	https://wamaya.local/product/canvastavla-lunar-serenity-tavla/
Canvastavla Serene Awakening - Tavla	https://pictufy.com/api/interiors.php?p=2548673&i=1837	https://pictufy.com/api/interiors.php?p=2548673&i=1534	https://pictufy.com/api/interiors.php?p=2548673&i=1596	https://wamaya.local/product/canvastavla-serene-awakening-tavla/
